lems 342
Term is =  consolidated, Number of occurrences: 1
Term is =  jet, Number of occurrences: 5
Term is =  system, Number of occurrences: 1
Term is =  1m, Number of occurrences: 1
Term is =  mining, Number of occurrences: 7
Term is =  that, Number of occurrences: 2
Term is =  exactly, Number of occurrences: 1
Term is =  resulted, Number of occurrences: 1
Term is =  than, Number of occurrences: 1
Term is =  population, Number of occurrences: 1
Term is =  11, Number of occurrences: 1
Term is =  15, Number of occurrences: 1
Term is =  14, Number of occurrences: 2
Term is =  17, Number of occurrences: 1
Term is =  gloster, Number of occurrences: 3
Term is =  winkle, Number of occurrences: 1
Term is =  result, Number of occurrences: 1
Term is =  pre, Number of occurrences: 1
Term is =  remained, Number of occurrences: 1
Term is =  unchanged, Number of occurrences: 1
Term is =  have, Number of occurrences: 1
Term is =  seen, Number of occurrences: 1
Term is =  beckett, Number of occurrences: 2
Term is =  intends, Number of occurrences: 1
Term is =  build, Number of occurrences: 1
Term is =  which, Number of occurrences: 3
Term is =  maiden, Number of occurrences: 2
Term is =  who, Number of occurrences: 2
Term is =  75, Number of occurrences: 1
Term is =  73, Number of occurrences: 1
Term is =  72, Number of occurrences: 1
Term is =  request, Number of occurrences: 1
Term is =  operations, Number of occurrences: 1
Term is =  gold, Number of occurrences: 2
Term is =  german, Number of occurrences: 3
Term is =  agreed, Number of occurrences: 1
Term is =  charles, Number of occurrences: 1
Term is =  allegations, Number of occurrences: 1
Term is =  cambodian, Number of occurrences: 1
Term is =  rouge, Number of occurrences: 1
Term is =  quoted, Number of occurrences: 2
Term is =  merger, Number of occurrences: 2
Term is =  appended, Number of occurrences: 2
Term is =  do, Number of occurrences: 1
Term is =  report, Number of occurrences: 1
Term is =  during, Number of occurrences: 1
Term is =  celebrate, Number of occurrences: 1
Term is =  prime, Number of occurrences: 1
Term is =  emf, Number of occurrences: 2
Term is =  thuringia, Number of occurrences: 1
Term is =  fields, Number of occurrences: 2
Term is =  malaysian, Number of occurrences: 1
Term is =  predicted, Number of occurrences: 1
Term is =  16th, Number of occurrences: 4
Term is =  set, Number of occurrences: 1
Term is =  observer, Number of occurrences: 1
Term is =  lion, Number of occurrences: 2
Term is =  pta92m, Number of occurrences: 1
Term is =  are, Number of occurrences: 1
Term is =  said, Number of occurrences: 5
Term is =  managing, Number of occurrences: 1
Term is =  currently, Number of occurrences: 2
Term is =  state, Number of occurrences: 1
Term is =  unable, Number of occurrences: 1
Term is =  between, Number of occurrences: 1
Term is =  conditions, Number of occurrences: 1
Term is =  corruption, Number of occurrences: 1
Term is =  arrival, Number of occurrences: 1
Term is =  ruhnau, Number of occurrences: 1
Term is =  we, Number of occurrences: 1
Term is =  terms, Number of occurrences: 1
Term is =  august, Number of occurrences: 1
Term is =  however, Number of occurrences: 1
Term is =  aircraft, Number of occurrences: 2
Term is =  dividend, Number of occurrences: 1
Term is =  patented, Number of occurrences: 1
Term is =  ill, Number of occurrences: 1
Term is =  and, Number of occurrences: 11
Term is =  flies, Number of occurrences: 1
Term is =  consume, Number of occurrences: 1
Term is =  loan, Number of occurrences: 1
Term is =  article, Number of occurrences: 2
Term is =  cent, Number of occurrences: 3
Term is =  geoffrey, Number of occurrences: 1
Term is =  expected, Number of occurrences: 1
Term is =  prototype, Number of occurrences: 1
Term is =  correction, Number of occurrences: 4
Term is =  flight, Number of occurrences: 3
Term is =  gas, Number of occurrences: 3
Term is =  anthony, Number of occurrences: 1
Term is =  observe, Number of occurrences: 1
Term is =  minister, Number of occurrences: 1
Term is =  former, Number of occurrences: 1
Term is =  pilot, Number of occurrences: 2
Term is =  commerce, Number of occurrences: 1
Term is =  east, Number of occurrences: 1
Term is =  cash, Number of occurrences: 1
Term is =  unprecedented, Number of occurrences: 1
Term is =  will, Number of occurrences: 2
Term is =  newspaper, Number of occurrences: 1
Term is =  seven, Number of occurrences: 1
Term is =  is, Number of occurrences: 4
Term is =  it, Number of occurrences: 6
Term is =  in, Number of occurrences: 16
Term is =  pay, Number of occurrences: 1
Term is =  monarch, Number of occurrences: 1
Term is =  european, Number of occurrences: 2
Term is =  singapore, Number of occurrences: 1
Term is =  reporting, Number of occurrences: 1
Term is =  yesterday, Number of occurrences: 2
Term is =  7m, Number of occurrences: 1
Term is =  director, Number of occurrences: 2
Term is =  000, Number of occurrences: 2
Term is =  recent, Number of occurrences: 1
Term is =  well, Number of occurrences: 1
Term is =  fighting, Number of occurrences: 1
Term is =  english, Number of occurrences: 1
Term is =  termination, Number of occurrences: 1
Term is =  the, Number of occurrences: 43
Term is =  proposed, Number of occurrences: 1
Term is =  executive, Number of occurrences: 1
Term is =  not, Number of occurrences: 5
Term is =  human, Number of occurrences: 1
Term is =  yew, Number of occurrences: 1
Term is =  rose, Number of occurrences: 2
Term is =  had, Number of occurrences: 2
Term is =  arresting, Number of occurrences: 1
Term is =  board, Number of occurrences: 1
Term is =  boardroom, Number of occurrences: 1
Term is =  has, Number of occurrences: 4
Term is =  tuesday, Number of occurrences: 1
Term is =  chairman, Number of occurrences: 3
Term is =  march, Number of occurrences: 1
Term is =  survival, Number of occurrences: 2
Term is =  pounds, Number of occurrences: 1
Term is =  follows, Number of occurrences: 1
Term is =  50, Number of occurrences: 1
Term is =  officer, Number of occurrences: 1
Term is =  page, Number of occurrences: 1
Term is =  because, Number of occurrences: 1
Term is =  old, Number of occurrences: 3
Term is =  back, Number of occurrences: 1
Term is =  for, Number of occurrences: 6
Term is =  per, Number of occurrences: 3
Term is =  does, Number of occurrences: 1
Term is =  be, Number of occurrences: 1
Term is =  run, Number of occurrences: 1
Term is =  agreement, Number of occurrences: 1
Term is =  refused, Number of occurrences: 1
Term is =  broken, Number of occurrences: 1
Term is =  corp, Number of occurrences: 1
Term is =  1939, Number of occurrences: 1
Term is =  by, Number of occurrences: 1
Term is =  on, Number of occurrences: 5
Term is =  of, Number of occurrences: 22
Term is =  dollars, Number of occurrences: 3
Term is =  months, Number of occurrences: 1
Term is =  airline, Number of occurrences: 1
Term is =  slightly, Number of occurrences: 1
Term is =  into, Number of occurrences: 1
Term is =  world's, Number of occurrences: 1
Term is =  been, Number of occurrences: 2
Term is =  bayernwerk, Number of occurrences: 1
Term is =  parties, Number of occurrences: 1
Term is =  utility, Number of occurrences: 1
Term is =  contigas, Number of occurrences: 1
Term is =  1989, Number of occurrences: 1
Term is =  dm3, Number of occurrences: 1
Term is =  dm8, Number of occurrences: 1
Term is =  was, Number of occurrences: 6
Term is =  smuggling, Number of occurrences: 1
Term is =  but, Number of occurrences: 1
Term is =  mcclure, Number of occurrences: 1
Term is =  subsidiary, Number of occurrences: 1
Term is =  line, Number of occurrences: 1
Term is =  with, Number of occurrences: 3
Term is =  raising, Number of occurrences: 1
Term is =  made, Number of occurrences: 1
Term is =  wasn't, Number of occurrences: 1
Term is =  up, Number of occurrences: 2
Term is =  us, Number of occurrences: 1
Term is =  un, Number of occurrences: 2
Term is =  uk, Number of occurrences: 2
Term is =  distribution, Number of occurrences: 1
Term is =  called, Number of occurrences: 1
Term is =  sales, Number of occurrences: 2
Term is =  an, Number of occurrences: 1
Term is =  fly, Number of occurrences: 1
Term is =  as, Number of occurrences: 5
Term is =  at, Number of occurrences: 6
Term is =  eric, Number of occurrences: 1
Term is =  nf, Number of occurrences: 1
Term is =  other, Number of occurrences: 1
Term is =  meteor, Number of occurrences: 1
Term is =  test, Number of occurrences: 1
Term is =  picture, Number of occurrences: 1
Term is =  problems, Number of occurrences: 1
Term is =  lufthansa, Number of occurrences: 2
Term is =  fell, Number of occurrences: 1
Term is =  ago, Number of occurrences: 1
Term is =  guerrillas, Number of occurrences: 1
Term is =  faster, Number of occurrences: 1
Term is =  vice, Number of occurrences: 2
Term is =  invest, Number of occurrences: 1
Term is =  required, Number of occurrences: 1
Term is =  directors, Number of occurrences: 1
Term is =  restored, Number of occurrences: 1
Term is =  once, Number of occurrences: 1
